"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"113",12,95,81,30,4,59,100,100,100,48,54,100,100,100,64,74,100,100,97,35,79,100,100,89,8,89,100,100,89,8,64,100,100,82,0,9,40,81,98,24,1
"114",5,83,82,11,0,4,88,100,100,42,37,100,100,100,61,55,100,100,100,13,77,100,100,94,8,60,100,100,78,0,10,92,97,43,2,0,10,52,83,22,1
"115",3,86,91,53,3,6,86,100,100,44,5,80,100,100,58,25,97,100,100,45,19,97,100,97,38,49,100,100,97,67,74,100,100,100,46,8,73,94,100,49,1
"116",13,70,81,64,17,9,85,100,100,67,29,87,100,100,67,38,90,100,100,50,13,93,100,100,67,52,97,100,100,56,67,100,100,100,34,0,30,57,95,41,1
"117",0,62,100,62,25,0,100,100,100,62,50,100,100,100,75,37,100,100,100,25,75,100,100,100,50,50,100,100,100,62,37,100,100,100,50,0,37,100,100,25,1
"118",28,94,84,55,3,34,100,100,98,56,10,91,100,100,67,20,94,100,100,67,25,97,100,100,46,43,91,100,100,28,70,100,100,97,31,5,56,84,92,12,1
"119",61,100,100,46,3,94,100,100,91,14,55,100,100,73,10,100,100,100,64,7,77,100,100,46,3,100,100,100,91,14,55,100,100,73,32,100,100,86,55,30,1
"120",55,95,90,22,0,50,100,100,90,22,22,90,100,95,42,15,85,100,95,30,35,90,100,90,22,37,100,100,62,0,50,100,100,90,22,42,95,100,77,22,1
"121",2,57,98,62,0,43,100,100,99,19,48,100,89,62,60,1,32,11,50,82,0,0,3,74,95,44,72,90,100,67,70,100,100,100,70,15,85,88,27,16,2
"122",0,22,91,46,0,8,77,97,79,0,81,100,43,91,0,58,72,0,90,0,8,13,12,80,0,49,99,93,83,0,81,100,100,76,55,32,97,53,0,44,2
"123",5,77,86,14,0,55,100,59,56,4,50,87,2,64,30,12,27,0,78,35,40,69,43,95,27,99,82,68,100,23,77,73,88,73,40,14,88,82,7,0,2
"124",0,4,73,56,1,10,70,100,73,13,43,98,60,1,1,6,52,1,11,49,12,11,0,32,56,94,89,78,78,56,58,63,70,100,65,3,71,100,50,0,2
"125",5,54,80,31,0,53,100,99,90,2,62,99,35,61,21,12,28,0,78,29,0,3,32,97,50,30,88,100,100,100,86,100,100,78,15,44,96,59,4,0,2
"126",0,0,75,10,0,21,73,100,70,0,97,85,42,78,0,40,5,23,50,0,0,0,42,57,0,50,66,100,92,36,90,100,95,45,85,65,92,21,0,22,2
